wavelength_nm,launch_power_dBm,temperature_C,mod_format,snr_dB,ber
1536.3593085405341,-2.5369592665673446,33.992560177905546,NRZ,33.545513455008745,0.0
1556.7887594004226,2.9310760112652767,54.20797305129082,QAM16,30.801511013994276,7.965656307878934e-264
1555.4395299429907,-1.8636088173951193,44.58904291536173,PAM4,31.335479308521272,5.098404773372322e-298
1559.4741614448706,0.7562381804926654,46.30089603715544,QAM16,30.247310889553646,1.6462271883012915e-232
1537.5352928329335,4.3524221379696515,34.39206533996214,PAM4,36.02444693481143,0.0
1543.2545312148748,-9.401424521353396,48.86314364139552,QAM16,19.728217335024933,1.6313034290696312e-22
1540.2433167068116,8.015856693233172,24.107806608541743,PAM4,41.23034005339589,0.0
1569.762561037281,-0.5524102705074152,26.60824437364536,NRZ,34.27251615763341,0.0
1553.5507464515729,8.235668034596348,27.90033090819832,QAM16,37.58873288190931,0.0
1567.503948201964,-0.1639700630146046,49.30123255444067,NRZ,33.75280527964982,0.0
1551.13887384824,8.979509540522791,36.05626552920731,QAM16,36.966958392165665,0.0
1555.5558538225134,2.253445023934124,52.47303123315979,QAM16,30.91697442885245,7.228405709439475e-271
1557.5550606837044,-8.77823771873782,55.721229452792144,PAM4,23.15654324692639,3.3436861046305907e-47
1530.7828037417937,4.192187982489479,56.92740898205522,PAM4,35.28799864904546,0.0
1572.3220239854593,8.490020404496367,39.33017981939283,QAM16,36.68086251555232,0.0
1525.6632320390106,8.106243499593472,27.22193928012865,NRZ,41.90521644309387,0.0
1549.1147713438154,-9.154448827002394,40.09446564686373,QAM16,21.070193853111604,5.773215120375962e-30
1560.1537971773835,6.687813633456965,22.365179940407845,PAM4,38.415569321217106,0.0
1574.9822484635984,4.036117681485636,21.049909460097346,PAM4,37.357450767338456,0.0
1571.5586984699241,-4.955992509451608,40.911860719163464,QAM16,21.522744058388838,4.8735769202561045e-33
1555.13072158822,-8.255244566698508,29.327939088871318,PAM4,24.257341424096712,3.249135334072748e-60
1563.157014775755,9.263394728178763,41.89227306067472,PAM4,42.196457499016546,0.0
1559.5800919865903,7.0068473572304875,46.098497412280594,PAM4,38.339891565019336,0.0
1540.6366162477193,-1.375929189728875,51.41745044440684,NRZ,35.917181264143665,0.0
1525.3637163050732,5.081178699281203,33.94260124460895,NRZ,39.872132522848396,0.0
1544.3429852021395,-7.918565392509769,48.33651151630649,PAM4,25.26327109989074,2.3825089779119747e-75
1536.2526454277859,-2.017364342078609,30.517099300747937,PAM4,28.160313887143946,1.0703357442599471e-144
1543.8343809436872,-7.022847978883511,50.101492016252166,PAM4,24.431843943365415,1.3499288069811218e-62
1564.7213887985642,-3.5557510784857382,23.501506869358018,NRZ,32.87482862009077,0.0
1557.986563498488,1.792379361884202,39.01831673900078,PAM4,34.92194653792321,0.0
1559.686844709901,-0.2812358361508527,26.139654089343654,QAM16,30.18941374790687,1.834563895759957e-229
1549.5170406887019,-8.399597111337165,33.65393428741096,NRZ,28.267394397297203,2.9882727083404367e-148
1553.0449662352728,2.09725149293833,25.996208463656476,PAM4,33.10051049762898,0.0
1557.2656013207645,2.5196626033182623,35.65352143072574,QAM16,29.7445311386776,2.3496002141810202e-207
1571.3615483411236,-3.0982322608129476,57.516583230378956,QAM16,24.413808624497374,2.403710804706706e-62
1527.6483651238707,2.026705489887717,52.711220203376705,QAM16,30.19634187846802,7.962496697093786e-230
1546.727250847395,-4.99335722060728,39.69089963408423,PAM4,27.843511514831984,1.112677350516111e-134
1525.3874413367532,7.25646066547357,59.88677180154447,QAM16,35.87865134446729,0.0
1573.9743484365351,-5.83724635713224,20.140149959345976,NRZ,28.713349275511977,4.9616708780938665e-164
1568.892610956027,-7.449084867690972,38.34844098456354,NRZ,26.533486690161652,3.36030018136418e-100
1547.419593811987,-0.5114590623728832,35.80239007900181,PAM4,30.59727525951414,8.103068484845592e-252
1527.8584127639365,5.165489825740812,22.38729800494243,NRZ,41.113186699721,0.0
1554.5353915196804,9.67376617899762,27.26336597600922,QAM16,39.072897004831646,0.0
1570.1893180724435,-2.873224549904274,46.6734727052754,QAM16,25.352477454577397,7.219018653757686e-77
1541.147670839632,1.4714452827319269,53.759938385018216,NRZ,37.76087360973408,0.0
1555.6909210414753,-6.405179628341886,54.81850335518532,PAM4,23.807742736050006,1.681855456827425e-54
1571.5845247434831,9.661406868599203,40.875421033029966,NRZ,46.04603562022546,0.0
1552.6697648624438,3.0926857402561625,42.21043198021059,QAM16,31.326523388519877,2.0714246806624825e-297
1563.5308721869817,0.4977393637877836,37.43393818476857,QAM16,27.958007768582966,3.2363258065730575e-138
1545.0505913154357,4.815553925579723,36.64011249557267,PAM4,36.14463507062895,0.0
1557.5317571055139,-4.446660097669868,56.63850767124062,QAM16,23.58485299648423,7.037576057951157e-52
1551.6749019525062,0.7683370667180145,41.88924634805487,QAM16,30.860494633059968,2.1239893180110058e-267
1574.6879798354119,7.623340792998057,24.624345645928756,QAM16,34.122905326806915,0.0
1534.437577173458,5.50225393139689,48.98223746092558,QAM16,33.94073989047699,0.0
1543.3236908400415,-3.201844040898776,46.11442652441617,QAM16,24.18324347897132,3.1225418771953532e-59
1544.8985773879929,5.2950210707426,23.772893361118452,PAM4,38.44797387386724,0.0
1547.085974583079,5.2137647976684764,50.06438714198413,NRZ,42.854855924040145,0.0
